1397,469,489.8,61898,260131,11.2,39.3,36.9,41.7,164.9
173,70,411.6,48127,43269,18.6,33,32.2,33.7,161.3
102,50,349.7,49348,21026,14.6,45,44,45.8,174.7
427,202,430.4,44243,75882,17.1,42.8,42.2,43.4,194.8
57,26,350.1,49955,10321,12.5,48.3,47.8,48.9,144.4
428,152,505.4,52313,61023,15.6,45.4,43.5,48,176
250,97,461.8,37782,41516,23.2,42.6,42.2,43.5,175.9
146,71,404,40189,20848,17.8,51.7,50.8,52.5,183.6
88,36,459.4,42579,13088,22.3,49.3,48.4,49.8,190.5
4025,1380,510.9,60397,843954,13.1,35.8,34.7,37,177.8
113,36,413.3,54721,16252,12.7,54.4,54,54.6,121.4
740,269,499.3,51395,121846,15.7,41,40,42.2,172.7
55,26,398.9,52673,11339,12.6,45.2,44.9,45.5,188.3
3438,1118,493.4,71890,772501,9.9,37.6,36.6,38.7,165.3
2265,901,440.7,50083,490945,16.3,37.2,35.7,38.7,171
251,106,423.8,43823,43791,19.3,46.2,45.6,46.8,174.2
1390,483,495.9,61653,269536,11.9,38.5,37.1,39.9,169.9
32,12,463.2,51022,4042,13.9,52.1,51.5,53.1,153.8
305,120,442.5,49819,60338,15.7,36.9,35.5,39.1,162.8
1081,367,490.9,53733,212284,15.7,36.5,35.6,37.5,163.3
134,50,390.5,41837,48177,28.4,24.2,24.4,23.9,140.8
958,403,411,44342,248830,20.5,32.5,31.6,33.6,169.4
94,41,445.2,35615,16704,21.5,41.5,40.9,42.1,189.7
499,215,463.1,56737,111901,13.2,38.4,38,38.6,206.1
152,70,501.8,37625,23372,22.1,41.9,41.2,43.2,236.7
80,40,396.6,33817,14415,22.2,44.5,43.7,45.3,196.3
164,69,481.6,43572,23350,15.1,45.9,44.1,48,186.2
564,237,483.4,34887,96844,21.9,38.5,36.9,39.9,194
50,25,459.9,32162,7470,21.8,47,47.6,46.5,226.5
70,26,591,32961,8910,25.1,43.3,43.4,43.3,212.9
25,19,234,41838,8176,17.4,43.7,41.8,45.5,185.6
280,137,457,36739,44997,21.4,43.2,42,45.1,217
45,21,463.1,32705,8518,28.9,38.4,37.4,41.2,209.9
58,22,356.3,41039,11766,17,45.6,45.5,45.7,128
250,103,494.9,36996,35516,21.1,45.3,44.6,46.7,195.1
145,66,475.1,35980,23353,21.2,44.6,44,45.1,212.1
218,85,495,48178,29815,12.9,45.6,44.1,47.9,184.1
68,29,374.9,41010,13852,15.3,44.5,44.2,45,153
449,192,506.6,42121,68714,13.9,42,40.5,43.5,206.7
182,78,475.8,41121,29237,16.7,42.6,41.2,44.1,194.2
245,101,423.7,66950,56482,10.2,39.7,39.9,39.3,178.2
1285,539,508.7,43936,188332,16.8,42.8,40.9,44.3,205.4
124,50,553,40568,16448,20,43.3,42.2,44.7,218.4
139,60,513.2,34295,21415,24.4,41.9,41.4,42.8,226.9
245,113,523.9,36437,34707,20.2,42.6,41.5,44.1,240.1
137,70,457.1,24707,19835,34.9,44.1,41.5,46.5,234.8
373,144,510.9,43729,56925,17.9,41.1,39.7,42.7,188.8
208,87,456.3,43356,31978,15.2,44.3,42.9,46.5,184.6
168,78,463.4,35799,27037,20.6,43,42.3,44.1,209.5
418,184,493.8,35046,61164,20.5,42.3,40.6,43.7,210
170,76,456.6,40012,27451,16.1,43.2,42.1,44.4,198.4
163,76,507,29839,25292,28.1,41.7,40.4,42.7,240.8
382,132,444.5,43835,104236,22.5,30,28.5,31.3,155.9
86,39,434.6,36351,13506,19.3,46.6,45.4,48.3,190.7
105,52,425.4,44446,17524,13,46.1,45.8,46.6,209.7
160,72,455.5,36375,25594,19.6,43.4,42.3,44.7,199.8
308,123,500.9,40195,43066,18.4,43.3,41.3,45.1,184.4
45,19,381.8,38204,7229,16.7,49.1,47.4,50.3,139.8
45,21,458.9,44801,7674,16.5,43.6,42,45.6,213.3
50,23,384.8,34341,8607,17.6,48.4,47.9,49,176.8
183,73,435.3,41420,33940,17.6,42.3,40.4,43.5,169.8
328,114,497.2,59472,56848,10,41,40.4,41.6,171.5
482,206,469.6,40270,77510,17.7,41.6,40,43.4,198.2
161,68,405.2,37468,29126,20.8,43.2,41.7,45.1,168.6
72,32,502,46383,9982,17.7,45.2,45.1,45.3,214.7
89,41,449.2,33041,14435,23.1,44.2,43.2,45,204
76,36,377.1,32456,13239,25.8,46.3,46.9,46,170.4
87,39,400.9,40305,16912,16.8,43,41.6,44.5,172.2
56,19,528.4,36466,6966,17.1,47.7,47,48.4,168.1
61,27,468.3,41019,8975,15.8,46.2,45.6,46.9,199.1
142,60,453.7,38387,24758,19.7,41.8,41.2,42.5,189.5
236,102,433.2,37242,40971,20,42.5,41.3,43.5,183.8
65,33,511.9,29331,8755,26.1,46.3,45.5,46.6,259.5
120,50,514.6,40013,15816,18.5,46,44.6,47.2,202.6
35,14,455.3,38600,5880,20.3,45,45.4,44,185.8
554,217,488.8,41932,86452,17.2,42.5,41.1,44,185.5
134,69,447.8,34419,22151,22.8,42.8,41.5,44.2,235.4
164,73,467.9,42063,20148,17.8,51.4,49.7,53.3,206
90,45,451.5,41294,15843,14.9,42.2,40.8,42.8,217.5
254,112,412.1,46375,45563,13.7,43.9,42,45.6,168.4
88,42,369.9,44395,14977,13.6,50.8,50.5,51.1,171.7
1214,406,479.1,54141,258718,12,36.8,35.7,37.9,158.6
71,33,385.7,50998,13192,10.5,45,45.1,44.9,166.4
103,50,399.2,41810,15159,16.5,50.9,50.6,51.4,190.1
238,79,474.1,68430,49762,5.9,39,38.4,39.8,157.9
356,123,482.4,52485,63531,10.7,40.6,39.1,42,160.1
184,70,455.2,45316,34445,16,37.1,36.4,38.4,157.6
323,123,476.1,59020,56743,8.8,42,41.3,42.7,176.6
109,43,466.4,43562,16391,14.7,45.9,44.2,47.1,176.4
2015,707,430.7,61937,523643,13.4,34.6,33.7,35.6,153.8
463,201,437.3,54359,88502,9.9,42,40.4,43.7,178.9
208,77,449.3,49717,27554,11,51.7,50.2,53.2,158.7
187,104,354.7,46475,43601,13.9,40.6,39.8,41.3,192.8
177,72,396.1,52224,44497,13.9,34.1,33.4,35,155.6
454,177,440.9,48102,102105,14.4,33.8,33,34.7,163.4
23,13,308.2,44562,4464,12.8,51.1,50.8,51.3,171.9
579,206,477,52149,101973,9.9,41,40.1,41.8,159.4
68,25,490.6,41418,9057,17,45.3,44.4,46.4,166.4
257,108,428.2,46972,52250,15,36.1,33.2,39.7,166.9
187,74,420,53328,37186,8.7,42.2,41.3,43.2,158.4
89,32,447.2,61802,17110,8.2,458.4,36.3,40.7,152.3
29,15,356.1,40351,5220,16,46.1,45.2,47.8,169.9
20,10,400.6,43883,3091,12.1,49.5,47.7,50.5,187.4
16,10,221.5,55955,5937,9.2,38.8,36.8,41.4,138.2
40,13,432.5,49517,5163,10.7,48.9,47.6,50.9,120.2
30,14,453.6,41344,7064,34,28.6,27.5,30.3,215
24,12,350.1,44726,4154,12.3,46,44.2,46.6,156.3
104,39,431.4,69191,20248,7.4,41.2,40.1,42.4,159.2
39,15,392,53290,9367,13.6,30.1,27.2,32.2,142.1
31,12,495.5,40979,3625,12.7,47.5,45.5,49,162.7
